,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
3575,Rochette,Ebbens,Female,10,1969-09-19,Account Coordinator,0,Mass Customer,N,No,11.0
2770,Jamie,Gildersleeve,Female,6,1969-10-05,Recruiting Manager,Retail,Affluent Customer,N,Yes,10.0
2087,Ernie,Wankel,Male,2,1969-10-09,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,14.0
3807,Cal,Wilber,Male,66,1969-10-11,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,11.0
3815,Farra,Klimkiewich,Female,93,1969-10-26,Safety Technician I,Property,Mass Customer,N,Yes,18.0
166,Nathalie,Tideswell,Female,95,1969-10-27,0,Health,High Net Worth,N,Yes,17.0
3488,Margo,Fletcher,Female,90,1969-10-30,Help Desk Operator,Argiculture,Mass Customer,N,Yes,9.0
1921,Ailene,Tomkies,Female,7,1969-11-11,Speech Pathologist,0,High Net Worth,N,Yes,5.0
1536,Andres,Beranek,Male,23,1969-11-17,Librarian,Entertainment,Mass Customer,N,No,10.0
2956,Hurlee,Helleckas,Male,66,1969-11-21,Social Worker,Health,Affluent Customer,N,No,11.0
1883,Aurore,Buckmaster,Female,19,1969-11-25,0,Manufacturing,Mass Customer,N,Yes,17.0
3969,Modesty,Storks,Female,73,1969-11-27,Sales Representative,Retail,High Net Worth,N,Yes,12.0
1035,Randene,Ingle,Female,6,1969-11-28,Paralegal,Financial Services,Mass Customer,N,Yes,12.0
1795,Cayla,Marcus,Female,79,1969-11-28,Desktop Support Technician,Manufacturing,High Net Worth,N,Yes,8.0
1095,Jakie,Mungham,Male,33,1969-11-29,Software Test Engineer I,Health,High Net Worth,N,No,14.0
1643,Gaby,Harriot,Male,57,1969-12-01,Speech Pathologist,Health,Mass Customer,N,No,10.0
730,Lorenza,Cawthorne,Female,57,1969-12-04,0,0,Mass Customer,N,No,6.0
3112,Wenonah,Lethabridge,Female,52,1969-12-06,Teacher,Property,Mass Customer,N,Yes,18.0
1191,Hollyanne,McCarter,Female,31,1969-12-12,VP Quality Control,Manufacturing,Mass Customer,N,No,16.0
2097,Ame,Tossell,Female,82,1969-12-13,Dental Hygienist,Health,High Net Worth,N,No,16.0
2065,Skipp,McLarens,Male,91,1969-12-21,Food Chemist,Health,High Net Worth,N,Yes,12.0
1236,Junia,Humerstone,Female,6,1969-12-31,Research Nurse,Health,High Net Worth,N,No,16.0
1489,Lusa,Hargerie,Female,36,1970-01-03,Cost Accountant,Financial Services,Mass Customer,N,Yes,6.0
1114,Merola,Stutard,Female,33,1970-01-18,Account Coordinator,0,High Net Worth,N,Yes,17.0
3500,Kayla,Alentyev,Female,63,1970-01-19,Operator,Telecommunications,Mass Customer,N,Yes,18.0
3740,Mollee,Jeavons,Female,19,1970-02-01,Nurse,0,Affluent Customer,N,Yes,16.0
59,Nadiya,Champerlen,Female,18,1970-02-04,0,Manufacturing,Mass Customer,N,No,10.0
2170,Laryssa,Maes,Female,21,1970-02-10,Pharmacist,Health,High Net Worth,N,No,10.0
2309,Jed,Humpherston,Male,12,1970-02-10,Executive Secretary,0,High Net Worth,N,Yes,11.0
3229,Calida,Clardge,Female,31,1970-02-14,Executive Secretary,Financial Services,Mass Customer,N,No,12.0
1313,De,Eilhart,Female,25,1970-02-23,Clinical Specialist,Health,Mass Customer,N,Yes,6.0
1304,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0
709,Benton,Oakly,Male,76,1970-03-01,Sales Representative,Retail,High Net Worth,N,Yes,13.0
863,Regen,Nares,Male,6,1970-03-06,0,Retail,High Net Worth,N,Yes,4.0
752,Josy,St. Quentin,Female,82,1970-03-07,Food Chemist,Health,Affluent Customer,Y,Yes,6.0
2105,Antons,Ley,Male,91,1970-03-19,Project Manager,Financial Services,High Net Worth,N,Yes,13.0
390,Duffie,Woodier,Male,80,1970-03-25,0,Argiculture,Mass Customer,N,No,16.0
2895,Chryste,Deaville,Female,5,1970-03-25,Financial Advisor,Financial Services,Mass Customer,N,Yes,12.0
2417,Elspeth,Brazil,Female,82,1970-04-05,Software Engineer III,Property,Mass Customer,N,Yes,13.0
3610,Uriah,Chantree,Male,20,1970-04-10,Statistician II,0,Affluent Customer,N,Yes,10.0
288,Modestia,Lithgow,Female,43,1970-04-12,Clinical Specialist,Health,High Net Worth,N,No,10.0
2006,Gail,Scarrisbrick,Male,8,1970-04-13,Programmer I,Manufacturing,Mass Customer,N,Yes,15.0
3765,Marcos,Algar,Male,47,1970-04-13,Desktop Support Technician,Financial Services,Mass Customer,N,Yes,19.0
3957,Pincus,Woodard,Male,8,1970-04-27,Actuary,Financial Services,Affluent Customer,N,Yes,16.0
3450,Ruprecht,Loreit,Male,88,1970-05-01,Sales Associate,0,High Net Worth,N,No,10.0
3157,Korey,Lansbury,Male,27,1970-05-02,VP Quality Control,Telecommunications,Mass Customer,N,Yes,12.0
1405,Georges,Tilne,Male,3,1970-05-05,Cost Accountant,Financial Services,High Net Worth,N,Yes,17.0
2472,Davon,0,Male,50,1970-05-10,Administrative Assistant I,Entertainment,Mass Customer,N,Yes,13.0
3946,Tanitansy,McTrustam,Female,26,1970-05-12,GIS Technical Architect,0,Mass Customer,N,No,12.0
3009,Tobye,Cock,Female,16,1970-05-20,0,0,Affluent Customer,N,No,5.0
1177,Angelo,Byne,Male,1,1970-05-26,Pharmacist,Health,Mass Customer,N,No,13.0
1512,Wendel,Cator,Male,13,1970-06-05,Quality Engineer,0,Affluent Customer,N,Yes,16.0
561,Lindy,Fitzpayn,Female,88,1970-06-06,Marketing Assistant,0,Mass Customer,N,No,17.0
2615,Andee,Ormrod,Female,28,1970-06-11,Nurse,0,High Net Worth,N,Yes,13.0
1345,Woody,Dowthwaite,Male,9,1970-06-19,Administrative Assistant IV,Telecommunications,Mass Customer,N,No,19.0
3635,Trudi,Bickerstasse,Female,42,1970-06-24,Director of Sales,Financial Services,Mass Customer,N,Yes,18.0
1359,Maurice,Blas,Male,41,1970-07-04,Design Engineer,Manufacturing,Mass Customer,N,Yes,15.0
3316,Ric,Kondrachenko,Male,35,1970-07-08,Actuary,Financial Services,Mass Customer,N,Yes,11.0
2941,Garner,Arnolds,Male,10,1970-07-15,Software Engineer III,0,High Net Worth,N,No,10.0
3724,Elisha,Venny,Male,37,1970-07-21,Research Assistant II,0,Mass Customer,N,Yes,5.0
3954,Dido,Austick,Female,87,1970-08-05,Geologist II,Argiculture,Mass Customer,N,Yes,7.0
2845,Bryana,Lindell,Female,66,1970-08-15,Nurse,Property,Mass Customer,N,No,14.0
1922,Immanuel,Farlamb,Male,52,1970-08-23,Health Coach IV,Health,Mass Customer,N,No,9.0
2710,Steven,Keetley,Male,52,1970-08-31,Biostatistician II,Health,Affluent Customer,N,No,6.0
1633,Jordana,Beach,Female,20,1970-08-31,Director of Sales,Manufacturing,Affluent Customer,N,No,12.0
1306,Emlyn,Musgrave,Female,73,1970-09-06,Dental Hygienist,Health,High Net Worth,N,Yes,10.0
626,Shanta,Knill,Female,24,1970-09-24,0,0,High Net Worth,N,No,10.0
984,Aryn,O'Halloran,Female,29,1970-09-30,Help Desk Operator,Retail,High Net Worth,N,No,15.0
2802,Ailsun,Hawlgarth,Female,95,1970-09-30,Senior Editor,Retail,Mass Customer,N,Yes,11.0
3801,Leila,Elcombe,Female,9,1970-10-27,Chief Design Engineer,Telecommunications,High Net Worth,N,Yes,5.0
692,Bambi,Hebblethwaite,Female,46,1970-10-27,0,Financial Services,Affluent Customer,N,Yes,19.0
1221,Barbey,Ville,Female,83,1970-11-01,Account Executive,Property,Mass Customer,N,No,19.0
554,Jarib,Senior,Male,99,1970-11-08,Junior Executive,Property,Mass Customer,N,No,4.0
2939,Wilek,Adolf,Male,83,1970-11-12,Business Systems Development Analyst,0,Affluent Customer,N,Yes,14.0
170,Halli,Davidoff,Female,62,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,N,No,10.0
269,Auberta,Roundtree,Female,38,1970-12-10,Budget/Accounting Analyst III,0,Mass Customer,N,Yes,17.0
893,Catie,Kibbey,Female,13,1970-12-18,Desktop Support Technician,Financial Services,High Net Worth,N,Yes,9.0
501,Rica,Raveau,Female,39,1970-12-24,Teacher,Manufacturing,Mass Customer,N,No,18.0
2578,Celka,Demsey,Female,35,1970-12-31,Desktop Support Technician,Manufacturing,Mass Customer,N,No,16.0
1517,Dallon,Greatreax,Male,66,1971-01-02,Safety Technician IV,Property,Affluent Customer,N,No,18.0
2022,Marco,Denziloe,Male,15,1971-01-11,Associate Professor,0,High Net Worth,N,No,10.0
3880,Olivie,Nazair,Female,50,1971-01-12,0,Financial Services,Affluent Customer,N,No,18.0
3767,Christina,Grevatt,Female,44,1971-01-17,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,14.0
507,Abagail,Tordiffe,Female,94,1971-01-18,Project Manager,Property,Mass Customer,N,Yes,11.0
3129,Krissy,Robard,Female,53,1971-01-25,VP Product Management,Telecommunications,Mass Customer,N,No,17.0
3876,Georgine,Poutress,Female,55,1971-01-28,Account Coordinator,0,High Net Worth,N,No,11.0
3798,Violetta,Monnery,Female,94,1971-01-28,Tax Accountant,Property,High Net Worth,N,No,18.0
3126,Tucker,Lewsley,Male,39,1971-01-31,Research Nurse,Health,Mass Customer,N,No,10.0
837,Hayden,Heersema,Male,27,1971-02-03,Financial Advisor,Financial Services,High Net Worth,N,No,15.0
1614,Evvie,Crack,Female,75,1971-02-04,0,Entertainment,Mass Customer,N,Yes,7.0
3642,Bettye,Dumberrill,Female,62,1971-02-08,Technical Writer,0,Mass Customer,N,No,15.0
2665,Lyle,Eager,Male,2,1971-02-16,Occupational Therapist,Health,Mass Customer,N,No,9.0
1260,Candice,Lohde,Female,61,1971-02-16,Legal Assistant,Manufacturing,Mass Customer,N,No,4.0
416,Fernandina,Brambley,Female,37,1971-02-17,Biostatistician IV,Argiculture,Mass Customer,N,No,15.0
1464,Wilona,Osgood,Female,53,1971-02-18,Mechanical Systems Engineer,Financial Services,Mass Customer,N,Yes,5.0
3137,Wait,Pardey,Male,34,1971-02-19,Paralegal,Financial Services,Mass Customer,N,Yes,6.0
2214,Viola,Wadhams,Female,50,1971-02-20,Structural Engineer,Financial Services,Mass Customer,N,Yes,18.0
3800,Auberta,Andrault,Female,76,1971-03-06,Research Nurse,Health,Mass Customer,N,Yes,17.0
681,Ole,Euplate,Male,53,1971-03-16,Health Coach IV,Health,Affluent Customer,N,Yes,7.0
3041,Barris,Trayton,Male,76,1971-03-17,Engineer II,Property,High Net Worth,N,Yes,15.0
2130,Nettle,Painter,Female,12,1971-03-21,Payment Adjustment Coordinator,0,Mass Customer,N,Yes,7.0
1203,Trudy,Huffy,Female,12,1971-03-24,Senior Developer,Manufacturing,Affluent Customer,N,Yes,16.0
644,Randolf,Durant,Male,50,1971-04-01,Analyst Programmer,0,High Net Worth,N,No,11.0
3603,Findlay,Lubman,Male,3,1971-04-09,VP Quality Control,Health,High Net Worth,N,Yes,9.0
2290,Guido,Meynell,Male,67,1971-04-13,Accountant IV,Manufacturing,Affluent Customer,N,Yes,4.0
2822,Weidar,Antognazzi,Male,98,1971-04-20,Budget/Accounting Analyst IV,Property,Mass Customer,N,No,7.0
871,Suki,Ivachyov,Female,47,1971-04-28,Structural Engineer,IT,Mass Customer,N,No,13.0
2019,Portia,Proudlock,Female,50,1971-05-06,Biostatistician IV,Property,Affluent Customer,N,Yes,14.0
2824,Tammara,Twigley,Female,28,1971-05-22,Budget/Accounting Analyst IV,Manufacturing,Affluent Customer,N,Yes,19.0
488,Tresa,Reeks,Female,18,1971-05-31,Senior Editor,Retail,Mass Customer,N,Yes,4.0
3777,Ilaire,Redborn,Male,99,1971-06-09,Dental Hygienist,Health,High Net Worth,N,No,10.0
3830,Kory,Mabson,Male,10,1971-06-09,Librarian,Entertainment,Affluent Customer,N,Yes,6.0
951,Marina,Andresen,Female,34,1971-06-13,VP Sales,Financial Services,Affluent Customer,N,Yes,6.0
2792,Mead,Corkell,Male,77,1971-06-16,Research Nurse,Health,Affluent Customer,N,Yes,14.0
2001,Matilde,Hamsher,Female,55,1971-06-20,Mechanical Systems Engineer,Financial Services,Mass Customer,N,No,12.0
2136,Renie,0,Female,46,1971-06-22,Chemical Engineer,Manufacturing,Affluent Customer,N,No,5.0
3361,Piotr,Saladin,Male,60,1971-06-24,VP Accounting,Financial Services,Affluent Customer,N,No,13.0
2159,Kettie,Cantopher,Female,64,1971-06-26,Recruiter,Health,Mass Customer,N,Yes,15.0
3397,Alberik,Looks,Male,69,1971-07-01,0,0,High Net Worth,N,Yes,7.0
2381,Turner,Huggens,Male,79,1971-07-05,Accounting Assistant III,Retail,Mass Customer,N,Yes,4.0
506,Gwen,Jakubczyk,Female,98,1971-07-05,0,Health,Mass Customer,N,No,7.0
2508,Danya,Beadles,Male,99,1971-07-07,Help Desk Technician,Financial Services,Mass Customer,N,No,7.0
1854,Foss,Yanele,Male,2,1971-07-08,Librarian,Entertainment,Mass Customer,N,Yes,18.0
3841,Van,Durnell,Male,24,1971-07-11,Staff Accountant II,0,Mass Customer,N,Yes,12.0
2961,Shari,MacCallester,Female,26,1971-07-12,Information Systems Manager,Property,Mass Customer,N,No,15.0
2500,Ora,Meaddowcroft,Female,80,1971-07-12,Actuary,Financial Services,Mass Customer,N,Yes,10.0
2851,Clarinda,Noen,Female,20,1971-07-22,Biostatistician I,Property,High Net Worth,N,Yes,14.0
3080,Dodi,Volker,Female,61,1971-07-25,Mechanical Systems Engineer,0,High Net Worth,N,Yes,9.0
2547,Kristien,Robberts,Female,11,1971-07-30,Chief Design Engineer,0,Mass Customer,N,No,13.0
3974,Dianemarie,Kidgell,Female,2,1971-08-11,Administrative Assistant I,Entertainment,Affluent Customer,N,No,18.0
1170,Ilise,Solloway,Female,32,1971-08-15,Human Resources Manager,0,Affluent Customer,N,Yes,8.0
3017,Ainsley,Nissle,Female,16,1971-08-24,Recruiter,0,High Net Worth,N,Yes,15.0
1697,Christabella,Eldredge,Female,58,1971-08-24,0,Health,Affluent Customer,N,Yes,18.0
2032,Mar,Philippon,Male,36,1971-08-31,Dental Hygienist,Health,High Net Worth,N,No,10.0
1634,Indira,Robotham,Female,36,1971-09-02,Safety Technician IV,Financial Services,Mass Customer,N,No,7.0
635,Alejandrina,Canavan,Female,42,1971-09-02,Systems Administrator II,0,Mass Customer,N,No,19.0
3699,Lazar,Restall,Male,64,1971-09-06,Associate Professor,Entertainment,Mass Customer,N,No,19.0
179,Trisha,Neasham,Female,16,1971-09-17,Web Designer III,Argiculture,Affluent Customer,N,No,14.0
3330,Claire,Trahar,Female,18,1971-09-20,Technical Writer,Financial Services,Mass Customer,N,No,8.0
3212,Marcile,Vasiliev,Female,27,1971-09-26,0,Telecommunications,Affluent Customer,N,Yes,16.0
324,Anthia,Ghilardini,Female,98,1971-09-26,Computer Systems Analyst I,Financial Services,Affluent Customer,N,Yes,17.0
404,Vivien,Urion,Female,19,1971-09-28,0,Manufacturing,High Net Worth,N,Yes,14.0
3177,Gan,Marrion,Male,21,1971-09-28,VP Quality Control,Retail,Mass Customer,N,Yes,9.0
318,Madelle,Matteris,Female,32,1971-10-11,0,Retail,Mass Customer,N,Yes,14.0
3686,Jessie,Wards,Male,84,1971-10-14,Software Engineer III,Manufacturing,Mass Customer,N,Yes,14.0
3082,Cirillo,Duprey,Male,44,1971-10-17,0,0,Mass Customer,N,Yes,12.0
975,Andonis,Slimmon,Male,10,1971-10-21,Graphic Designer,Financial Services,Affluent Customer,N,No,10.0
290,Aime,Burston,Female,63,1971-10-22,Assistant Media Planner,Entertainment,Mass Customer,N,No,4.0
2351,Cilka,Dabbes,Female,76,1971-10-22,Statistician II,0,Mass Customer,N,Yes,13.0
3036,Leanora,Isles,Female,30,1971-10-27,Legal Assistant,Financial Services,High Net Worth,N,Yes,18.0
1757,Helli,Cooksley,Female,16,1971-10-28,Administrative Assistant I,Argiculture,Mass Customer,N,Yes,6.0
2626,Hildegaard,Gennrich,Female,7,1971-10-29,Budget/Accounting Analyst II,Retail,Mass Customer,N,Yes,12.0
1218,Kaine,Parkeson,Male,93,1971-11-04,0,Financial Services,Mass Customer,N,No,14.0
3646,Carlyle,Frape,Male,62,1971-11-07,Marketing Manager,0,Affluent Customer,N,No,4.0
929,Evelina,Dinan,Female,86,1971-11-10,Executive Secretary,Retail,Mass Customer,N,Yes,8.0
2104,Terrance,Goligher,Male,29,1971-11-11,Food Chemist,Health,High Net Worth,N,Yes,6.0
1610,Terencio,0,Male,93,1971-11-22,Developer IV,Health,High Net Worth,N,Yes,13.0
2296,Pauletta,Taffee,Female,16,1971-11-27,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,19.0
2922,Julie,Kennagh,Female,46,1971-11-30,Teacher,0,Affluent Customer,N,Yes,4.0
3704,Tedmund,Clawsley,Male,26,1971-12-04,0,Manufacturing,Mass Customer,N,Yes,15.0
2183,Lamar,Gladman,Male,49,1971-12-05,Statistician III,Health,Mass Customer,N,No,11.0
3238,Wendi,Hew,Female,15,1971-12-06,Staff Scientist,Health,High Net Worth,N,No,5.0
1482,Beth,Daile,Female,55,1971-12-11,Senior Quality Engineer,Telecommunications,Mass Customer,N,Yes,14.0
183,Nappie,Paolo,Male,40,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7.0
1566,Florri,Ramsdell,Female,18,1971-12-16,Teacher,0,Mass Customer,N,No,16.0
1618,Matteo,Hallum,Male,83,1971-12-22,Staff Accountant III,0,Mass Customer,N,Yes,6.0
2479,Adey,Shevlin,Female,3,1971-12-26,Nuclear Power Engineer,Manufacturing,High Net Worth,N,Yes,16.0
2112,Nita,Bushell,Female,91,1972-01-06,Internal Auditor,Manufacturing,Affluent Customer,N,No,17.0
1743,Phoebe,Kahen,Female,41,1972-01-21,Nurse Practicioner,Financial Services,High Net Worth,N,No,12.0
2182,Jillie,Fyndon,Female,61,1972-02-07,Programmer Analyst IV,Manufacturing,Mass Customer,N,Yes,7.0
71,Sammy,Cheese,Male,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16.0
45,Kaila,Allin,Female,98,1972-02-26,0,0,Affluent Customer,N,Yes,15.0
3977,Kathlin,Robker,Female,4,1972-03-02,Developer II,Financial Services,Mass Customer,N,No,5.0
710,Audrey,Vickerman,Female,60,1972-03-03,0,0,Affluent Customer,N,No,7.0
1820,Fields,Bayne,Male,89,1972-03-09,Web Developer IV,Entertainment,High Net Worth,N,Yes,15.0
1421,Georgy,Rickwood,Male,31,1972-03-13,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,Yes,16.0
1684,Marya,Milington,Female,32,1972-03-16,Budget/Accounting Analyst III,IT,Mass Customer,N,No,8.0
2624,Kristal,McRobbie,Female,45,1972-03-16,Research Assistant I,Manufacturing,Affluent Customer,N,Yes,8.0
604,Bart,Creenan,Male,13,1972-03-26,Electrical Engineer,Manufacturing,Mass Customer,N,Yes,5.0
442,Lauree,Leason,Female,21,1972-03-26,0,Argiculture,High Net Worth,N,Yes,10.0
2187,Zonnya,Fayter,Female,85,1972-04-03,Nurse Practicioner,0,Mass Customer,N,No,17.0
3749,Yanaton,Beacom,Male,78,1972-04-14,Chemical Engineer,Manufacturing,Affluent Customer,N,Yes,6.0
3612,Fairfax,Pummery,Male,27,1972-04-21,Budget/Accounting Analyst II,Health,Mass Customer,N,Yes,9.0
3579,Roby,Samson,Female,61,1972-04-24,Occupational Therapist,Health,Mass Customer,N,No,10.0
1302,Nollie,Guilliatt,Male,64,1972-04-27,0,Argiculture,Mass Customer,N,No,15.0
2243,Sidney,Cargon,Male,97,1972-05-10,Software Test Engineer III,Manufacturing,Mass Customer,N,No,5.0
2972,Torr,Mintram,Male,34,1972-05-12,Senior Developer,Health,High Net Worth,N,No,5.0
3563,Sandy,Olford,Male,43,1972-05-15,Programmer Analyst IV,0,High Net Worth,N,Yes,18.0
2867,Corina,Thurlbeck,Female,20,1972-05-21,Technical Writer,Retail,High Net Worth,N,No,10.0
2944,Arlan,0,Male,79,1972-05-26,Safety Technician IV,0,Mass Customer,N,No,18.0
3388,Margo,Saltmarshe,Female,27,1972-06-01,Programmer II,0,Affluent Customer,N,No,19.0
425,Emlyn,Anstice,Female,10,1972-06-02,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,8.0
2361,Herbie,Machans,Male,49,1972-06-05,Developer II,Financial Services,Affluent Customer,N,Yes,19.0
295,Marshal,Rathbone,Male,34,1972-06-19,0,Health,High Net Worth,N,Yes,17.0
1256,Prentiss,MacVicar,Male,40,1972-06-19,Assistant Professor,Property,Affluent Customer,N,Yes,9.0
2080,Gelya,Coaker,Female,69,1972-06-21,Senior Editor,Financial Services,Mass Customer,N,No,13.0
3407,Becka,Bysaker,Female,10,1972-07-11,Tax Accountant,Manufacturing,Mass Customer,N,No,18.0
2263,Tony,Shirley,Female,18,1972-07-17,Occupational Therapist,Health,Affluent Customer,N,No,9.0
3219,Hunt,Linn,Male,53,1972-07-26,Research Assistant IV,Manufacturing,Affluent Customer,N,No,11.0
2636,Marcile,Christley,Female,28,1972-07-30,Help Desk Operator,Retail,Mass Customer,N,Yes,11.0
748,Andreas,Cosin,Male,47,1972-08-01,Environmental Specialist,Argiculture,Mass Customer,N,No,19.0
698,Mirabella,Richter,Female,16,1972-08-04,Account Representative IV,IT,Affluent Customer,N,Yes,16.0
1879,Garrett,Dommett,Male,50,1972-08-11,0,0,High Net Worth,N,No,17.0
1387,Carny,Shilstone,Male,86,1972-08-14,Internal Auditor,Financial Services,Mass Customer,N,No,7.0
3719,Adelice,Tams,Female,23,1972-08-15,0,0,Mass Customer,N,No,15.0
1640,Vasily,Sturgeon,Male,29,1972-09-01,Community Outreach Specialist,Financial Services,Mass Customer,N,No,14.0
2011,Maisey,Lavell,Female,55,1972-09-07,Health Coach I,Health,High Net Worth,N,No,4.0
1889,Carce,Gunthorp,Male,89,1972-10-08,Analyst Programmer,Financial Services,Mass Customer,N,No,7.0
921,Bekki,Ralston,Female,52,1972-10-10,Operator,Financial Services,Mass Customer,N,No,19.0
2645,Jesselyn,Di Biaggi,Female,14,1972-10-11,Sales Representative,Retail,Mass Customer,N,Yes,17.0
2849,Andie,Shorto,Female,74,1972-10-13,Director of Sales,0,Mass Customer,N,Yes,5.0
2952,Hector,Carwithan,Male,45,1972-10-26,Recruiting Manager,Health,High Net Worth,N,Yes,8.0
1531,Marty,Wiggall,Female,27,1972-10-26,VP Accounting,Financial Services,Mass Customer,N,Yes,10.0
3313,Blakelee,Tassel,Female,50,1972-10-31,0,Financial Services,Mass Customer,N,Yes,12.0
3833,Bianca,Ricket,Female,59,1972-10-31,Compensation Analyst,Financial Services,Mass Customer,N,Yes,11.0
1165,Fannie,Devil,Female,40,1972-12-05,Quality Control Specialist,Health,Affluent Customer,N,No,8.0
2964,Lynna,Greenrod,Female,24,1972-12-15,0,0,High Net Worth,N,No,8.0
3091,Hallie,Blackden,Female,8,1972-12-17,Statistician IV,0,Affluent Customer,N,No,9.0
641,Les,Mines,Male,9,1972-12-19,Automation Specialist IV,Property,Mass Customer,N,No,12.0
1276,Elias,Gerrie,Male,26,1972-12-26,Help Desk Technician,0,Mass Customer,N,Yes,9.0
280,Jeanette,Sizzey,Female,51,1972-12-27,Cost Accountant,Financial Services,High Net Worth,N,Yes,8.0
3561,Martynne,Bullivant,Female,76,1973-01-02,Recruiting Manager,0,Affluent Customer,N,No,10.0
865,Stanislaus,Gottelier,Male,28,1973-01-05,Associate Professor,0,Affluent Customer,N,Yes,14.0
1559,Tymon,Blackstone,Male,14,1973-01-12,0,Retail,Mass Customer,N,No,5.0
1869,Alikee,Sjollema,Female,24,1973-01-16,Graphic Designer,0,Affluent Customer,N,No,9.0
1316,Barrett,Lindley,Male,2,1973-01-18,General Manager,Retail,Mass Customer,N,Yes,5.0
2121,Osborne,Nawton,Male,85,1973-01-27,Registered Nurse,Health,High Net Worth,N,Yes,11.0
3326,Roma,Le Gallo,Male,84,1973-02-02,Teacher,Manufacturing,Mass Customer,N,No,15.0
1241,Bartholomeo,Meeke,Male,36,1973-02-04,Human Resources Assistant III,Property,High Net Worth,N,Yes,18.0
2380,Dulsea,Pladen,Female,91,1973-02-12,Programmer I,Argiculture,Affluent Customer,N,Yes,5.0
3416,Deedee,Coxall,Female,91,1973-02-18,Social Worker,Health,Mass Customer,N,No,7.0
980,Bud,Smittoune,Male,0,1973-02-19,0,Retail,Mass Customer,N,No,11.0
1361,Giuditta,Dearlove,Female,20,1973-02-20,Account Executive,Manufacturing,Affluent Customer,N,Yes,15.0
2674,Dayle,Girardetti,Female,24,1973-02-25,Media Manager IV,Retail,Mass Customer,N,No,7.0
3322,Cortie,Hamshar,Male,99,1973-03-01,Account Representative I,Health,High Net Worth,N,No,8.0
2450,Upton,Orford,Male,33,1973-03-09,Editor,Argiculture,Affluent Customer,N,Yes,18.0
8,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0
619,Willy,Langley,Female,54,1973-03-26,Financial Analyst,Financial Services,Mass Customer,N,Yes,5.0
3225,Andi,Whittet,Female,43,1973-03-29,0,Entertainment,Affluent Customer,N,No,11.0
1444,Bettine,Yoselevitch,Female,57,1973-03-29,Web Designer II,IT,Affluent Customer,N,No,18.0
833,Rudolf,Brandes,Male,37,1973-04-07,Environmental Tech,Financial Services,Mass Customer,N,No,3.0
3291,Hamlen,Slograve,Male,71,1973-04-09,Web Designer I,Retail,Affluent Customer,N,Yes,3.0
2509,Nealson,Lowdham,Male,43,1973-04-10,Human Resources Manager,Manufacturing,Mass Customer,N,Yes,7.0
1801,Lizzie,Duke,Female,3,1973-04-11,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,7.0
1367,Aarika,Magog,Female,54,1973-04-14,0,Property,Mass Customer,N,No,4.0
830,Teddy,Keijser,Male,4,1973-04-20,Paralegal,Financial Services,Affluent Customer,N,No,11.0
2074,Devondra,Jovis,Female,95,1973-04-23,Environmental Tech,Manufacturing,Mass Customer,N,No,8.0
3273,Tory,Dosdell,Female,44,1973-04-26,0,Financial Services,Mass Customer,N,Yes,18.0
429,Janice,Himsworth,Female,46,1973-04-26,Paralegal,Financial Services,High Net Worth,N,Yes,11.0
482,Bertrand,Penkethman,Male,35,1973-05-02,Sales Representative,Retail,Affluent Customer,N,No,9.0
3943,Urbain,Sinnock,Male,28,1973-05-04,Engineer III,IT,Affluent Customer,N,No,3.0
866,Lura,MacKim,Female,12,1973-05-10,VP Marketing,0,Mass Customer,N,No,17.0
594,Nikola,Jeanon,Male,72,1973-05-12,VP Marketing,Financial Services,Mass Customer,N,No,22.0
927,Porty,Clemmitt,Male,61,1973-05-14,Associate Professor,0,High Net Worth,N,Yes,18.0
3607,Conway,Surgen,Male,86,1973-05-17,Nurse Practicioner,Argiculture,High Net Worth,N,No,8.0
2996,Jo-ann,Carlile,Female,57,1973-05-17,Computer Systems Analyst II,Health,Affluent Customer,N,No,10.0
3568,Janel,Daice,Female,24,1973-05-18,Senior Editor,0,Affluent Customer,N,No,12.0
3242,Tim,Besset,Male,24,1973-05-19,Media Manager I,Health,Mass Customer,N,No,7.0
3006,Tudor,Pepper,Male,38,1973-05-22,Environmental Tech,Manufacturing,Mass Customer,N,No,16.0
1284,Tomkin,Fudge,Male,44,1973-05-23,Office Assistant III,Manufacturing,Mass Customer,N,Yes,12.0
557,Allene,Claypole,Female,96,1973-05-25,Programmer Analyst III,0,Mass Customer,N,No,8.0
135,Mel,Bennet,Male,46,1973-05-26,Senior Developer,Manufacturing,High Net Worth,N,Yes,7.0
