,address,postcode,state,country,property_valuation
2852,352 Roth Street,4300,Queensland,Australia,6
2859,3 Vermont Junction,3757,Victoria,Australia,6
2862,72 Ludington Circle,2770,New South Wales,Australia,6
3684,00732 David Lane,3350,Victoria,Australia,6
2873,12574 Truax Alley,2316,New South Wales,Australia,6
636,049 Michigan Parkway,3337,Victoria,Australia,6
633,8300 Vermont Center,3429,Victoria,Australia,6
2975,6136 Farragut Plaza,3181,Victoria,Australia,6
2974,8594 Warner Park,3053,Victoria,Australia,6
3681,6468 West Park,3161,Victoria,Australia,6
2912,937 Sloan Center,4118,Queensland,Australia,6
605,3785 Dapin Drive,2036,New South Wales,Australia,6
2809,46100 Jay Place,4075,Queensland,Australia,6
2802,441 Superior Junction,2320,New South Wales,Australia,6
2798,53245 Mesta Street,3207,Victoria,Australia,6
3029,638 Browning Terrace,3079,Victoria,Australia,6
2719,3 Independence Street,4073,Queensland,Australia,6
3097,9 John Wall Parkway,2323,New South Wales,Australia,6
2722,05 Lerdahl Place,4215,Queensland,Australia,6
3703,6407 Pierstorff Center,4209,Queensland,Australia,6
708,646 Mariners Cove Place,3023,Victoria,Australia,6
3076,53 Dunning Lane,3024,Victoria,Australia,6
3073,9 Rieder Avenue,2798,New South Wales,Australia,6
2750,2241 Pearson Plaza,4503,Queensland,Australia,6
3101,11171 Rigney Court,2770,New South Wales,Australia,6
698,4 Lillian Plaza,2283,New South Wales,Australia,6
694,37430 Merrick Center,2770,New South Wales,Australia,6
2765,3 Buena Vista Crossing,2444,New South Wales,Australia,6
3058,922 Mccormick Circle,4509,Queensland,Australia,6
3050,99142 Eastwood Way,4870,Queensland,Australia,6
537,8635 Cody Crossing,2337,New South Wales,Australia,6
3045,6 Westend Center,2546,New South Wales,Australia,6
545,1949 Pepper Wood Pass,3168,Victoria,Australia,6
2780,677 Golden Leaf Junction,4054,Queensland,Australia,6
3062,2178 Washington Hill,3806,Victoria,Australia,6
239,65 Kinsman Trail,3023,Victoria,Australia,6
2945,984 Hoepker Court,3064,Victoria,Australia,6
940,627 Ronald Regan Alley,4505,Queensland,Australia,6
3798,6901 Russell Street,3977,Victoria,Australia,6
3527,88 Bunting Hill,3978,Victoria,Australia,6
2419,9 Northwestern Pass,4879,Queensland,Australia,6
2280,018 Porter Court,3631,Victoria,Australia,6
2401,645 Thackeray Street,4879,Queensland,Australia,6
290,76 Graedel Street,4812,Queensland,Australia,6
983,4 Amoth Trail,4161,Queensland,Australia,6
2396,4 Center Park,3807,Victoria,Australia,6
925,35454 Welch Hill,2477,New South Wales,Australia,6
2394,57 Debra Terrace,2259,New South Wales,Australia,6
3479,3 Butterfield Trail,4519,Queensland,Australia,6
3400,80269 Southridge Park,4014,Queensland,Australia,6
977,8276 Hudson Trail,2250,New South Wales,Australia,6
2311,360 Troy Parkway,3223,Victoria,Australia,6
278,28604 Bellgrove Circle,4508,Queensland,Australia,6
963,00 Park Meadow Terrace,2450,New South Wales,Australia,6
253,6759 Nevada Point,2323,New South Wales,Australia,6
2324,5 1st Park,2285,New South Wales,Australia,6
2327,034 Eagan Avenue,2560,New South Wales,Australia,6
2332,2 Straubel Lane,2477,New South Wales,Australia,6
2387,69810 Westridge Avenue,2573,New South Wales,Australia,6
254,8208 Parkside Point,2320,New South Wales,Australia,6
330,82 Mcbride Trail,3223,Victoria,Australia,6
3323,282 Monterey Circle,4300,Queensland,Australia,6
3432,7 Summerview Parkway,3073,Victoria,Australia,6
2348,22774 Pennsylvania Hill,2262,New South Wales,Australia,6
943,56709 Petterle Street,2443,New South Wales,Australia,6
317,5 Schurz Place,4350,Queensland,Australia,6
949,0 Menomonie Avenue,3177,Victoria,Australia,6
2360,743 Stone Corner Parkway,4127,Queensland,Australia,6
3462,682 Claremont Circle,4350,Queensland,Australia,6
3383,72728 Ruskin Way,2291,New South Wales,Australia,6
130,9674 Graceland Junction,3201,Victoria,Australia,6
2259,883 Almo Terrace,3977,Victoria,Australia,6
3574,91 Roth Pass,2565,New South Wales,Australia,6
2261,7037 North Park,2484,New South Wales,Australia,6
2451,6568 Northridge Pass,3029,Victoria,Australia,6
276,36 Vidon Parkway,2798,New South Wales,Australia,6
112,185 Pennsylvania Way,4226,Queensland,Australia,6
363,382 Maywood Parkway,4127,Queensland,Australia,6
3333,2 Homewood Center,2775,New South Wales,Australia,6
999,61 Lukken Plaza,3182,Victoria,Australia,6
2454,975 Annamark Hill,4034,Queensland,Australia,6
3359,62551 Del Mar Avenue,2300,New South Wales,Australia,6
3530,0485 Petterle Terrace,2575,New South Wales,Australia,6
3802,91 Dennis Plaza,4127,Queensland,Australia,6
2236,40062 Steensland Center,3977,Victoria,Australia,6
3771,54285 Annamark Way,3977,Victoria,Australia,6
3546,392 Grim Pass,4680,Queensland,Australia,6
3799,26 Barby Terrace,2263,New South Wales,Australia,6
347,6 Sunbrook Center,4350,Queensland,Australia,6
1495,36 Marquette Center,2250,New South Wales,Australia,7
3081,00183 Arapahoe Pass,4116,Queensland,Australia,7
3084,7 Westridge Terrace,4504,Queensland,Australia,7
3086,9503 Aberg Drive,3021,Victoria,Australia,7
2948,75848 Ohio Lane,3037,Victoria,Australia,7
1823,36516 Forster Lane,4034,Queensland,Australia,7
3091,3075 Victoria Drive,2290,New South Wales,Australia,7
3108,904 Doe Crossing Terrace,2194,New South Wales,Australia,7
1774,6238 Hanover Crossing,3141,Victoria,Australia,7
3100,146 Dakota Pass,4017,Queensland,Australia,7
3534,9594 Brown Junction,4509,Queensland,Australia,7
3532,6736 Anthes Junction,2250,New South Wales,Australia,7
2990,24 Old Shore Crossing,2250,New South Wales,Australia,7
1788,05239 Springs Circle,3030,Victoria,Australia,7
3558,0185 Fremont Alley,4074,Queensland,Australia,7
2969,98 Tomscot Center,3442,Victoria,Australia,7
3094,5406 Mockingbird Center,4870,Queensland,Australia,7
3098,32304 Larry Road,4014,Queensland,Australia,7
3661,91051 Cordelia Circle,3030,Victoria,Australia,7
3063,0330 Vahlen Trail,3072,Victoria,Australia,7
3008,399 Butterfield Crossing,4115,Queensland,Australia,7
1817,4365 Basil Junction,2539,New South Wales,Australia,7
3945,147 Brickson Park Drive,4017,Queensland,Australia,7
3524,6 Rockefeller Lane,2294,New South Wales,Australia,7
3004,72 Dennis Road,3805,Victoria,Australia,7
3547,38792 Calypso Crossing,2778,New South Wales,Australia,7
1804,7 Erie Court,2263,New South Wales,Australia,7
3028,677 Eagan Trail,3183,Victoria,Australia,7
3946,75251 Marquette Lane,4122,Queensland,Australia,7
3003,91 Jay Drive,2560,New South Wales,Australia,7
3509,7 Rieder Street,3155,Victoria,Australia,7
1769,6 Hansons Park,2145,New South Wales,Australia,7
3466,6814 Haas Place,2230,New South Wales,Australia,7
3036,88537 Erie Court,4211,Queensland,Australia,7
1796,95465 Union Plaza,4055,Queensland,Australia,7
3001,921 Reinke Road,2529,New South Wales,Australia,7
3501,2 Clarendon Point,2194,New South Wales,Australia,7
2993,99 Lawn Court,4556,Queensland,Australia,7
2991,93 Lawn Road,4212,Queensland,Australia,7
3054,83 Sunfield Hill,3216,Victoria,Australia,7
3476,00 1st Trail,3223,Victoria,Australia,7
3472,3 Roxbury Street,2261,New South Wales,Australia,7
3556,0800 Donald Hill,4000,Queensland,Australia,7
1792,18083 Mallard Drive,3075,Victoria,Australia,7
1475,4 Oriole Hill,2340,New South Wales,Australia,7
3468,7279 Steensland Circle,3803,Victoria,Australia,7
3554,276 Coolidge Plaza,4215,Queensland,Australia,7
3652,249 Merchant Terrace,4211,Queensland,Australia,7
3318,15991 Saint Paul Road,4213,Queensland,Australia,7
3110,3538 Bunting Hill,3805,Victoria,Australia,7
3361,63493 Erie Place,2144,New South Wales,Australia,7
3243,9468 Vidon Way,3029,Victoria,Australia,7
3600,75132 Portage Point,4555,Queensland,Australia,7
3238,11 Erie Hill,3915,Victoria,Australia,7
3236,7574 Onsgard Drive,4011,Queensland,Australia,7
3234,9 Dixon Crossing,3793,Victoria,Australia,7
3228,44 Service Alley,3023,Victoria,Australia,7
3386,312 Swallow Place,3021,Victoria,Australia,7
1707,62 Mallard Avenue,3437,Victoria,Australia,7
3601,90969 Talmadge Place,3199,Victoria,Australia,7
3608,65769 Hoard Plaza,3030,Victoria,Australia,7
3222,37363 Morning Park,3108,Victoria,Australia,7
1718,7233 Lerdahl Lane,4212,Queensland,Australia,7
3221,97 Sunnyside Junction,3977,Victoria,Australia,7
3568,681 Ridgeway Junction,4208,Queensland,Australia,7
1615,9020 Anhalt Park,2528,New South Wales,Australia,7
3252,6416 Grover Street,2322,New South Wales,Australia,7
3354,20 Alpine Circle,3181,Victoria,Australia,7
3971,07 Morning Court,3805,Victoria,Australia,7
3314,88389 Schiller Drive,3029,Victoria,Australia,7
3579,78478 Pond Road,4128,Queensland,Australia,7
3312,64 Nancy Plaza,3137,Victoria,Australia,7
1627,18708 Darwin Park,3977,Victoria,Australia,7
3575,4605 Lakewood Gardens Terrace,3216,Victoria,Australia,7
3310,6 North Court,3862,Victoria,Australia,7
1653,17974 Kedzie Circle,2795,New South Wales,Australia,7
1720,2 Mcguire Terrace,2323,New South Wales,Australia,7
3306,4 Tomscot Alley,4343,Queensland,Australia,7
3293,3 Maple Place,3064,Victoria,Australia,7
3281,1 Fairview Park,3977,Victoria,Australia,7
3346,17 Springs Center,4214,Queensland,Australia,7
3596,73 Hallows Circle,2558,New South Wales,Australia,7
1660,816 Gale Pass,2261,New South Wales,Australia,7
3272,9398 Declaration Circle,2021,New South Wales,Australia,7
3973,5106 Northridge Drive,2560,New South Wales,Australia,7
3592,15980 Fairview Drive,2283,New South Wales,Australia,7
3214,423 Mcbride Place,2477,New South Wales,Australia,7
3211,26710 Express Trail,4390,Queensland,Australia,7
1601,658 Northfield Junction,3023,Victoria,Australia,7
3142,502 John Wall Pass,3199,Victoria,Australia,7
3140,3 Cody Trail,2010,New South Wales,Australia,7
3134,24712 Hazelcrest Lane,3024,Victoria,Australia,7
3131,73907 Fallview Point,2250,New South Wales,Australia,7
3634,71 Manley Way,2036,New South Wales,Australia,7
3414,33792 Burrows Plaza,4125,Queensland,Australia,7
1544,0046 Grim Pass,2148,New South Wales,Australia,7
3147,0250 Onsgard Center,4034,Queensland,Australia,7
3420,5 Anhalt Court,3122,Victoria,Australia,7
3427,31 International Pass,4173,Queensland,Australia,7
3957,67 Lakewood Gardens Circle,2506,New South Wales,Australia,7
3116,969 Sycamore Point,2304,New South Wales,Australia,7
3954,64 Trailsway Place,3802,Victoria,Australia,7
3112,073 Fremont Alley,3805,Victoria,Australia,7
1760,10 Cambridge Street,4567,Queensland,Australia,7
3433,9479 Tony Junction,2830,New South Wales,Australia,7
3960,9 Hooker Street,2770,New South Wales,Australia,7
1764,466 Westport Drive,2263,New South Wales,Australia,7
3150,5323 Chive Avenue,2486,New South Wales,Australia,7
3154,541 Ramsey Alley,3201,Victoria,Australia,7
3204,182 Homewood Plaza,4053,Queensland,Australia,7
3610,8582 Morrow Pass,4165,Queensland,Australia,7
3965,02 Fair Oaks Lane,3977,Victoria,Australia,7
3195,842 Texas Crossing,4130,Queensland,Australia,7
1737,17 Ohio Drive,4053,Queensland,Australia,7
3194,08 Roth Hill,4208,Queensland,Australia,7
3191,972 Lake View Terrace,3977,Victoria,Australia,7
3152,16 Hansons Hill,2454,New South Wales,Australia,7
3409,31414 Superior Park,2539,New South Wales,Australia,7
3180,71 Hayes Circle,2320,New South Wales,Australia,7
3173,9632 Katie Avenue,4161,Queensland,Australia,7
3627,91215 Doe Crossing Avenue,3805,Victoria,Australia,7
3410,1 Village Green Circle,2285,New South Wales,Australia,7
3164,398 Butternut Place,3027,Victoria,Australia,7
3163,88 Rutledge Crossing,4215,Queensland,Australia,7
3411,2 Starling Pass,3155,Victoria,Australia,7
3182,6735 Katie Way,2150,New South Wales,Australia,7
3809,6011 Knutson Way,3065,Victoria,Australia,7
2792,48948 Little Fleur Alley,3134,Victoria,Australia,7
2895,0 Caliangt Pass,2530,New South Wales,Australia,7
2057,9 Roth Park,4104,Queensland,Australia,7
2479,0 Union Plaza,2444,New South Wales,Australia,7
2478,65662 Haas Trail,2560,New South Wales,Australia,7
2064,9 Old Shore Street,4509,Queensland,Australia,7
2065,7949 Waywood Way,2318,New South Wales,Australia,7
2069,0442 Debra Point,2281,New South Wales,Australia,7
2476,51800 Meadow Vale Point,3023,Victoria,Australia,7
2080,73 Muir Trail,3196,Victoria,Australia,7
2081,1 Raven Circle,2450,New South Wales,Australia,7
2082,6563 Susan Pass,3024,Victoria,Australia,7
2083,59 Prentice Lane,4551,Queensland,Australia,7
2467,572 Meadow Ridge Drive,3160,Victoria,Australia,7
2462,083 Farragut Avenue,2540,New South Wales,Australia,7
2087,949 Marquette Avenue,3028,Victoria,Australia,7
3772,761 Carioca Drive,4226,Queensland,Australia,7
3841,9 Duke Alley,4557,Queensland,Australia,7
2448,6 Morningstar Way,2165,New South Wales,Australia,7
3839,72258 Bayside Court,4211,Queensland,Australia,7
2447,4898 Buell Terrace,3043,Victoria,Australia,7
2482,34797 Londonderry Trail,3806,Victoria,Australia,7
2446,71761 Almo Street,4178,Queensland,Australia,7
2486,30624 John Wall Point,3101,Victoria,Australia,7
2498,62 Doe Crossing Junction,2760,New South Wales,Australia,7
2017,5468 Moose Lane,2445,New South Wales,Australia,7
2535,49 Sheridan Circle,2560,New South Wales,Australia,7
2018,174 Calypso Crossing,2770,New South Wales,Australia,7
2534,0166 Stephen Drive,2785,New South Wales,Australia,7
2531,601 Dryden Way,2264,New South Wales,Australia,7
2021,9 Melvin Drive,2144,New South Wales,Australia,7
2524,3 Park Meadow Drive,3023,Victoria,Australia,7
2025,23 Huxley Road,3064,Victoria,Australia,7
3754,23 West Crossing,3192,Victoria,Australia,7
2030,177 Anniversary Parkway,2428,New South Wales,Australia,7
2523,3 Myrtle Terrace,4161,Queensland,Australia,7
2516,3 American Ash Parkway,3342,Victoria,Australia,7
3852,79 Holy Cross Hill,2145,New South Wales,Australia,7
3851,30 Prairie Rose Road,2761,New South Wales,Australia,7
3762,877 Corben Center,2500,New South Wales,Australia,7
2042,50532 Hoard Center,4209,Queensland,Australia,7
3763,6 Maple Wood Junction,4012,Queensland,Australia,7
3768,1929 Crowley Drive,4034,Queensland,Australia,7
2048,896 Helena Parkway,4551,Queensland,Australia,7
2491,02 Declaration Lane,4551,Queensland,Australia,7
3854,274 Bultman Park,2566,New South Wales,Australia,7
3776,69 Porter Parkway,4128,Queensland,Australia,7
2100,884 Surrey Pass,3912,Victoria,Australia,7
2318,54970 Veith Hill,4125,Queensland,Australia,7
3821,22105 Arrowood Crossing,3124,Victoria,Australia,7
2310,90609 Charing Cross Lane,2250,New South Wales,Australia,7
2191,6779 Melrose Way,2450,New South Wales,Australia,7
3795,365 Jenifer Point,4116,Queensland,Australia,7
3796,53 Texas Road,2262,New South Wales,Australia,7
3797,6 Morningstar Park,2324,New South Wales,Australia,7
2196,11 Sage Place,4055,Queensland,Australia,7
2282,5086 Meadow Ridge Circle,3350,Victoria,Australia,7
2203,0 Shasta Terrace,2289,New South Wales,Australia,7
3820,9 West Crossing,2446,New South Wales,Australia,7
2207,9 Killdeer Avenue,4227,Queensland,Australia,7
2211,43491 Jenifer Street,2750,New South Wales,Australia,7
3816,86 Claremont Junction,2135,New South Wales,Australia,7
2247,0 Blaine Point,3183,Victoria,Australia,7
2241,353 Scott Road,2770,New South Wales,Australia,7
2222,60650 Mcbride Point,3918,Victoria,Australia,7
2235,70 Old Gate Avenue,3043,Victoria,Australia,7
3805,73 Debra Terrace,2141,New South Wales,Australia,7
2180,1 Melby Way,2527,New South Wales,Australia,7
2433,99739 Coolidge Crossing,2760,New South Wales,Australia,7
2177,3 Declaration Circle,4350,Queensland,Australia,7
2335,29 Portage Street,4070,Queensland,Australia,7
2432,2 Columbus Park,3075,Victoria,Australia,7
2430,401 Pond Circle,4019,Queensland,Australia,7
2423,34222 Vera Circle,3240,Victoria,Australia,7
2409,1369 Wayridge Terrace,3802,Victoria,Australia,7
2397,1 Coolidge Plaza,2150,New South Wales,Australia,7
2392,44083 Village Court,2142,New South Wales,Australia,7
2391,43 Commercial Road,4128,Queensland,Australia,7
2134,27 Mayer Lane,3756,Victoria,Australia,7
3777,934 Dwight Park,2280,New South Wales,Australia,7
3829,57866 Dawn Plaza,3029,Victoria,Australia,7
2389,4 Londonderry Junction,4159,Queensland,Australia,7
2388,422 Crownhardt Court,4179,Queensland,Australia,7
2145,59694 1st Crossing,4503,Queensland,Australia,7
2386,9501 Melby Avenue,4178,Queensland,Australia,7
2385,12651 Lake View Point,4209,Queensland,Australia,7
2380,1816 Monument Park,3074,Victoria,Australia,7
2368,631 Fuller Parkway,3023,Victoria,Australia,7
2356,89 Pawling Court,4020,Queensland,Australia,7
2351,3 School Drive,4173,Queensland,Australia,7
2172,15811 La Follette Park,2770,New South Wales,Australia,7
2933,53 Hintze Circle,4005,Queensland,Australia,7
2539,440 Ronald Regan Pass,2261,New South Wales,Australia,7
2543,12 Fairfield Parkway,3029,Victoria,Australia,7
2774,5108 Springview Circle,2128,New South Wales,Australia,7
2771,9 Swallow Way,4115,Queensland,Australia,7
1856,7939 Toban Crossing,2770,New South Wales,Australia,7
2768,0 Debs Lane,3204,Victoria,Australia,7
1859,3007 Summer Ridge Street,4511,Queensland,Australia,7
1864,765 6th Plaza,4226,Queensland,Australia,7
3697,9719 Bobwhite Avenue,2289,New South Wales,Australia,7
2757,2121 Dapin Center,3977,Victoria,Australia,7
3888,34329 Heffernan Plaza,3178,Victoria,Australia,7
2749,91973 Boyd Street,2287,New South Wales,Australia,7
2746,25 Ronald Regan Point,4035,Queensland,Australia,7
3698,36 Service Lane,2750,New South Wales,Australia,7
1884,16984 Pankratz Park,2324,New South Wales,Australia,7
1885,9460 Laurel Crossing,4032,Queensland,Australia,7
2735,28820 Monica Circle,2226,New South Wales,Australia,7
2725,63 International Drive,4165,Queensland,Australia,7
2721,15776 Thackeray Alley,2261,New South Wales,Australia,7
2720,8 Holmberg Street,2444,New South Wales,Australia,7
1898,9 Pearson Plaza,3177,Victoria,Australia,7
2776,99 Alpine Lane,3064,Victoria,Australia,7
2707,18652 Springs Plaza,2259,New South Wales,Australia,7
2779,526 Schiller Road,4157,Queensland,Australia,7
3688,5511 Clove Lane,3153,Victoria,Australia,7
2893,552 Talisman Circle,2250,New South Wales,Australia,7
3940,093 Mallard Hill,4034,Queensland,Australia,7
2887,4 Ilene Street,2145,New South Wales,Australia,7
2883,5674 Superior Point,2528,New South Wales,Australia,7
2869,08 Monterey Avenue,3043,Victoria,Australia,7
2865,10434 Melby Pass,2200,New South Wales,Australia,7
2861,6 Haas Park,2750,New South Wales,Australia,7
2855,221 Autumn Leaf Trail,2564,New South Wales,Australia,7
2854,3519 Schurz Alley,4034,Queensland,Australia,7
1850,0 Prairie Rose Place,3802,Victoria,Australia,7
2840,082 Twin Pines Avenue,4270,Queensland,Australia,7
2839,20 Carberry Circle,2165,New South Wales,Australia,7
2836,7 Buhler Drive,2142,New South Wales,Australia,7
2834,9695 Northland Pass,2450,New South Wales,Australia,7
2829,33 Norway Maple Street,2760,New South Wales,Australia,7
3910,47 Spenser Circle,2770,New South Wales,Australia,7
2800,4672 Morningstar Circle,2760,New South Wales,Australia,7
1854,5290 Lunder Park,2287,New South Wales,Australia,7
3900,24688 Hollow Ridge Way,3064,Victoria,Australia,7
2232,57 Boyd Avenue,2287,New South Wales,Australia,7
3748,549 Randy Point,2560,New South Wales,Australia,7
2698,4826 Crowley Park,2779,New South Wales,Australia,7
1904,9 Shelley Center,2170,New South Wales,Australia,7
2610,51313 Fulton Junction,2580,New South Wales,Australia,7
2609,93124 Monterey Plaza,3000,Victoria,Australia,7
2605,1031 Kennedy Way,4507,Queensland,Australia,7
2596,9 Cambridge Junction,2315,New South Wales,Australia,7
2591,33782 Doe Crossing Terrace,2280,New South Wales,Australia,7
1959,7 Del Mar Crossing,4680,Queensland,Australia,7
3737,3 High Crossing Parkway,3006,Victoria,Australia,7
1971,986 Hollow Ridge Crossing,3821,Victoria,Australia,7
2580,83441 Donald Pass,4565,Queensland,Australia,7
2577,6551 Atwood Road,4216,Queensland,Australia,7
3739,82583 North Hill,2528,New South Wales,Australia,7
2573,71725 Goodland Lane,4509,Queensland,Australia,7
2571,55501 Sugar Street,2548,New South Wales,Australia,7
3742,353 Donald Street,3199,Victoria,Australia,7
1993,6 Rockefeller Pass,3075,Victoria,Australia,7
2550,48 Lighthouse Bay Point,2430,New South Wales,Australia,7
2548,463 Atwood Court,4160,Queensland,Australia,7
1998,064 Fallview Terrace,4500,Queensland,Australia,7
3997,8194 Lien Street,4032,Queensland,Australia,7
1944,1197 Carey Junction,2280,New South Wales,Australia,7
2694,7 Fordem Point,3057,Victoria,Australia,7
1943,4415 Dwight Center,2528,New South Wales,Australia,7
3864,6 Swallow Park,2165,New South Wales,Australia,7
2688,03 Old Shore Terrace,4078,Queensland,Australia,7
1906,2 Maryland Drive,4227,Queensland,Australia,7
2687,8658 Maple Wood Plaza,3020,Victoria,Australia,7
2670,4 Loomis Hill,2527,New South Wales,Australia,7
2669,52408 Autumn Leaf Road,3030,Victoria,Australia,7
3712,63795 Logan Junction,3805,Victoria,Australia,7
2656,17 South Crossing,2770,New South Wales,Australia,7
1917,51763 Carey Place,3056,Victoria,Australia,7
2642,10 Kedzie Pass,2770,New South Wales,Australia,7
1920,6 Upham Place,4556,Queensland,Australia,7
2639,008 6th Center,3141,Victoria,Australia,7
1924,32708 Bluestem Alley,3976,Victoria,Australia,7
3870,16 Montana Way,2478,New South Wales,Australia,7
1927,8318 Continental Alley,3175,Victoria,Australia,7
2623,804 Shelley Junction,2567,New South Wales,Australia,7
3869,02084 Rockefeller Crossing,2150,New South Wales,Australia,7
2622,383 Little Fleur Circle,2753,New South Wales,Australia,7
2619,8 Lake View Way,3977,Victoria,Australia,7
2618,9837 Granby Alley,2445,New South Wales,Australia,7
2616,536 Crowley Crossing,2167,New South Wales,Australia,7
2494,050 Buell Lane,4055,Queensland,Australia,7
3998,320 Acker Drive,2251,New South Wales,Australia,7
1303,32 Vidon Point,4118,Queensland,Australia,7
643,9 Mayfield Road,4551,Queensland,Australia,7
89,67234 Transport Hill,2777,New South Wales,Australia,7
415,3 Oriole Place,3183,Victoria,Australia,7
1072,12764 Raven Plaza,4020,Queensland,Australia,7
894,88 Comanche Point,2486,New South Wales,Australia,7
526,306 Longview Street,2145,New South Wales,Australia,7
798,1899 Manley Court,4551,Queensland,Australia,7
799,15067 Commercial Pass,4006,Queensland,Australia,7
371,90761 Shasta Pass,3936,Victoria,Australia,7
730,324 Mifflin Road,2290,New South Wales,Australia,7
283,071 Cardinal Point,3064,Victoria,Australia,7
1385,02701 Talmadge Junction,3082,Victoria,Australia,7
1231,014 Birchwood Parkway,3030,Victoria,Australia,7
1234,560 Melody Alley,4122,Queensland,Australia,7
844,2661 Di Loreto Point,4701,Queensland,Australia,7
374,3467 Prairie Rose Lane,3034,Victoria,Australia,7
843,341 Londonderry Point,4215,Queensland,Australia,7
1237,75 Scott Place,3806,Victoria,Australia,7
193,5484 Hagan Crossing,3021,Victoria,Australia,7
528,1038 Hayes Point,2021,New South Wales,Australia,7
1144,8 Moland Junction,2148,New South Wales,Australia,7
173,8 Dixon Parkway,2783,New South Wales,Australia,7
203,056 Stone Corner Alley,4078,Queensland,Australia,7
847,641 Waywood Lane,2336,New South Wales,Australia,7
63,486 Mariners Cove Plaza,3046,Victoria,Australia,7
64,0322 Dryden Court,3183,Victoria,Australia,7
1105,9 Dayton Alley,3757,Victoria,Australia,7
1051,5811 Hanson Lane,2260,New South Wales,Australia,7
1379,6837 West Pass,4119,Queensland,Australia,7
292,1 Drewry Junction,3810,Victoria,Australia,7
998,610 Lakewood Gardens Point,4078,Queensland,Australia,7
1297,9 Sugar Junction,4053,Queensland,Australia,7
616,363 Schiller Court,2763,New South Wales,Australia,7
1398,7530 Sutteridge Hill,3030,Victoria,Australia,7
533,311 Emmet Point,4211,Queensland,Australia,7
289,807 Beilfuss Crossing,3030,Victoria,Australia,7
797,845 Talisman Pass,4210,Queensland,Australia,7
531,64700 2nd Alley,2145,New South Wales,Australia,7
1296,392 Ridge Oak Road,4165,Queensland,Australia,7
1318,98791 Johnson Way,4053,Queensland,Australia,7
1109,184 Roth Pass,4211,Queensland,Australia,7
281,747 Thackeray Circle,4551,Queensland,Australia,7
1311,482 Bartelt Junction,4280,Queensland,Australia,7
379,201 Randy Parkway,3033,Victoria,Australia,7
656,30274 Graedel Way,2577,New South Wales,Australia,7
125,58 Helena Hill,2205,New South Wales,Australia,7
685,64080 Susan Park,4207,Queensland,Australia,7
1412,83758 Kings Hill,2770,New South Wales,Australia,7
499,830 Summit Center,3075,Victoria,Australia,7
1306,0 Moland Parkway,4127,Queensland,Australia,7
181,0059 Brentwood Road,4560,Queensland,Australia,7
264,47 Jana Junction,3802,Victoria,Australia,7
495,2639 Brown Road,3910,Victoria,Australia,7
494,02 Boyd Crossing,3143,Victoria,Australia,7
904,52726 High Crossing Junction,3802,Victoria,Australia,7
1290,07780 Autumn Leaf Drive,4209,Queensland,Australia,7
1038,91 Spohn Plaza,4573,Queensland,Australia,7
1406,45 Tony Trail,2259,New South Wales,Australia,7
144,939 Coleman Pass,4509,Queensland,Australia,7
1289,7 Schurz Parkway,4212,Queensland,Australia,7
145,69914 Bowman Place,2330,New South Wales,Australia,7
840,3387 Warrior Court,2527,New South Wales,Australia,7
706,30550 Pierstorff Lane,3093,Victoria,Australia,7
1283,55 Elgar Park,4306,Queensland,Australia,7
1026,65634 Del Mar Crossing,4053,Queensland,Australia,7
543,5 Farmco Junction,4127,Queensland,Australia,7
1127,8 Hansons Street,3076,Victoria,Australia,7
392,5 Florence Hill,4124,Queensland,Australia,7
481,87 Stone Corner Park,3141,Victoria,Australia,7
236,39988 Porter Pass,4152,Queensland,Australia,7
1245,795 Arapahoe Hill,4818,Queensland,Australia,7
899,97 Karstens Place,4226,Queensland,Australia,7
620,8 Melrose Road,4116,Queensland,Australia,7
1066,37495 Summerview Park,2619,New South Wales,Australia,7
188,10878 Waywood Way,4352,Queensland,Australia,7
686,8179 Veith Pass,2577,New South Wales,Australia,7
1269,1075 Raven Place,4512,Queensland,Australia,7
186,3 Buell Park,2261,New South Wales,Australia,7
1275,55 Hauk Court,4350,Queensland,Australia,7
114,5814 Bunker Hill Street,3070,Victoria,Australia,7
842,00 Algoma Crossing,2141,New South Wales,Australia,7
1420,87038 Sauthoff Road,2761,New South Wales,Australia,7
621,226 Rowland Street,4178,Queensland,Australia,7
1292,3 Gina Center,4210,Queensland,Australia,7
1064,6 Sycamore Drive,4053,Queensland,Australia,7
390,3 Valley Edge Trail,3444,Victoria,Australia,7
1278,617 Welch Street,4122,Queensland,Australia,7
1025,4870 Shelley Alley,3225,Victoria,Australia,7
711,4033 Hermina Road,2304,New South Wales,Australia,7
546,7901 Park Meadow Plaza,3076,Victoria,Australia,7
985,21780 Service Park,2560,New South Wales,Australia,7
248,77248 Columbus Drive,2340,New South Wales,Australia,7
432,91 Porter Pass,3064,Victoria,Australia,7
1362,5413 Harbort Terrace,3226,Victoria,Australia,7
868,02377 Maywood Trail,2287,New South Wales,Australia,7
664,48 Warbler Road,4053,Queensland,Australia,7
675,9114 Union Center,2209,New South Wales,Australia,7
933,633 Cordelia Alley,3037,Victoria,Australia,7
18,18 Jenna Center,2650,New South Wales,Australia,7
444,261 Northport Lane,2567,New South Wales,Australia,7
1301,9120 Corry Avenue,4208,Queensland,Australia,7
24,9 Buell Park,4116,Queensland,Australia,7
251,5130 Manley Court,2287,New South Wales,Australia,7
645,9892 Dennis Alley,2565,New South Wales,Australia,7
578,8 Sommers Circle,2305,New South Wales,Australia,7
